titreCommercial;realisateur;visa;mention;paysOrigine;dateSortie
"LE CHATEAU DE LA DERNIERE CHANCE";"Jean paul PAULIN";"5166";"Tous publics";"FRANCE";"19/07/1947"
"LE VAISSEAU FANTOME";"Michael CURTIZ";"4579";"Tous publics";"ETATS-UNIS";"04/07/1947"
"ROULETABILLE CONTRE LA DAME DE PIQUE";"Christian CHAMBORANT";"5224";"Tous publics";"FRANCE";"05/07/1947"
"UNE BELLE GARCE";"Jacques DAROY";"5285";"Tous publics";"FRANCE";"12/07/1947"
"UNE FEMME DANGEREUSE";"Raoul WALSH";"4578";"Tous publics";"ETATS-UNIS";"02/07/1947"
"AMOUREUSE";"Emilio FERNANDEZ";"5973";"Tous publics";"MEXIQUE";"29/08/1947"
"BETHSABEE";"Leonide MOGUY";"5866";"Tous publics";"FRANCE";"23/08/1947"
"BRIGADE CRIMINELLE";"Rafael GIL ";"6485";"Tous publics";"FRANCE";"23/08/1947"
"L ENTRAINEUSE FATALE";"Raoul WALSH";"5618";"Tous publics";"ETATS-UNIS";"06/08/1947"
"LA FEMME AU PORTRAIT";"Fritz LANG";"4475";"Tous publics";"ETATS-UNIS";"28/08/1947"
"LA MARGOTON DU BATAILLON";"";"4145";"Tous publics";"FRANCE";"09/08/1947"
"LE BEAU VOYAGE";"Louis CUNY";"4894";"Tous publics";"FRANCE";"02/08/1947"
"LE DERNIER REFUGE";"Marc MAURETTE";"4783";"Tous publics";"FRANCE";"30/08/1947"
"LE DIAMANT DE CENT SOUS";"Jean daniel NORMAN";"5256";"Tous publics";"FRANCE";"30/08/1947"
"LE FACTEUR SONNE TOUJOURS DEUX FOIS";"Tay GARNETT";"6161";"Tous publics";"ETATS-UNIS";"06/08/1947"
"LE FIL DU RASOIR";"Edmund GOULDING";"5692";"Tous publics";"ETATS-UNIS";"20/08/1947"
"LE GRAND SOMMEIL";"Howard HAWKS";"5960";"Tous publics";"ETATS-UNIS";"06/08/1947"
"LE SECRET DU FLORIDA";"Jacques HOUSSIN";"4636";"Tous publics";"FRANCE";"02/08/1947"
"LES BEAUX JOURS DU ROI MURAT";"Pathe PATHE";"4941";"Tous publics";"FRANCE";"06/08/1947"
"LES BOURREAUX MEURENT AUSSI";"Fritz LANG";"5465";"Tous publics";"ETATS-UNIS";"27/08/1947"
"LES ENCHAINES";"Alfred HITCHCOCK";"5168";"Tous publics";"ETATS-UNIS";"06/08/1947"
"LES MARIS DE LEONTINE";"Rene LE HENAFF";"5242";"Tous publics";"FRANCE";"16/08/1947"
"PAVILLON NOIR";"Franck BORZAGE";"5171";"Tous publics";"ETATS-UNIS";"06/08/1947"
"ANGE";"Ernst LUBITSCH";"3355";"Tous publics";"ETATS-UNIS";"24/09/1947"
"ANTOINE ET ANTOINETTE";"Jacques BECKER";"5004";"Tous publics";"FRANCE";"27/09/1947"
"CAPITAINE BLOMET";"Andree FEIX";"5628";"Tous publics";"FRANCE";"20/09/1947"
"CREPUSCULE";"Henry HATHAWAY";"5251";"Tous publics";"ETATS-UNIS";"04/09/1947"
"DOUBLE CHANCE";"Lewis MILESTONE";"5282";"Tous publics";"ETATS-UNIS";"17/09/1947"
"FORT DE LA SOLITUDE";"Robert VERNAY";"5992";"Tous publics";"FRANCE";"27/09/1947"
"HENRY V";"Laurence OLIVIER";"5325";"Tous publics";"GRANDE-BRETAGNE";"17/09/1947"
"HUMORESQUE";"Jean NEGULESCO";"5426";"Tous publics";"ETATS-UNIS";"19/09/1947"
"LA SEPTIEME PORTE";"Andre ZWOBODA";"3945";"Tous publics";"FRANCE";"27/09/1947"
"LES MAUDITS";"Rene CLEMENT";"4920";"Tous publics";"FRANCE";"20/09/1947"
"NON COUPABLE";"Henri DECOIN";"5348";"Tous publics";"FRANCE";"20/09/1947"
"PAISA";"Roberto ROSSELLINI";"5378";"Tous publics";"ITALIE";"17/09/1947"
"RETOUR AUX PHILIPPINES";"Edward DMYTRYK";"5447";"Tous publics";"ETATS-UNIS";"03/09/1947"
"SOUDAN";"John RAWLINS";"5234";"Tous publics";"ETATS-UNIS";"30/09/1947"
"CARRE DE VALETS";"Andre BERTHOMIEU";"5541";"Tous publics";"FRANCE";"11/10/1947"
"FAUSSE IDENTITE";"Andre CHOTIN";"5340";"Tous publics";"FRANCE";"11/10/1947"
"FEUX CROISES";"Edward DMYTRYK";"6672";"Tous publics";"ETATS-UNIS";"15/10/1947"
"LE MAITRE DE FORGES";"Fernand RIVERS";"6272";"Tous publics";"FRANCE";"11/10/1947"
"LE PORT DE L ANGOISSE";"Howard HAWKS";"5427";"Tous publics";"ETATS-UNIS";"08/10/1947"
"LE VILLAGE PERDU";"Christian STENGEL";"5377";"Tous publics";"FRANCE";"18/10/1947"
"LES AMANTS DU PONT SAINT JEAN";"Henri DECOIN";"5966";"Tous publics";"FRANCE";"04/10/1947"
"LES PLUS BELLES ANNEES DE NOTRE VIE";"William WYLER";"5515";"Tous publics";"ETATS-UNIS";"03/10/1947"
"PARADE DU RIRE";"Verdier VERDIER";"4922";"Tous publics";"FRANCE";"18/10/1947"
"QUAI DES ORFEVRES";"Henri Georges CLOUZOT";"5526";"Tous publics";"FRANCE";"04/10/1947"
"APRES L AMOUR";"Maurice TOURNEUR";"6736";"Tous publics";"FRANCE";"08/11/1947"
"GENTLEMAN JIM";"Raoul WALSH";"7131";"Tous publics";"ETATS-UNIS";"26/11/1947"
"L IDOLE";"Alexandre ESWAY";"6120";"Tous publics";"FRANCE";"22/11/1947"
"LA GRANDE EVASION";"Raoul WALSH";"6706";"Tous publics";"ETATS-UNIS";"26/11/1947"
"LES FRERES BOUQUINQUANT";"Louis DAQUIN, Rouleau ROULEAU";"4973";"Tous publics";"FRANCE";"22/11/1947"
"LES REQUINS DE GIBRALTAR";"Emile e REINERT";"5468";"Tous publics";"FRANCE";"15/11/1947"
"LES TOITURES EN ALUMINIUM";"Edmond GREVILLE";"5584";"Tous publics";"FRANCE";"15/11/1947"
"MANDRIN 1ER EPISODE LE LIBERATEUR";"Rene JAYET";"6637";"Tous publics";"FRANCE";"15/11/1947"
"MON EPOUSE FAVORITE";"Garson KANIN";"5518";"Tous publics";"ETATS-UNIS";"14/11/1947"
"MONSIEUR VINCENT LE PERE DE LA PATRIE";"Maurice CLOCHE";"4535";"Tous publics";"FRANCE";"05/11/1947"
"UN FLIC";"Maurice DE CANONGE";"5804";"Tous publics";"FRANCE";"22/11/1947"
"UNE FEMME CHERCHE SON DESTIN";"Irving RAPPER";"5962";"Tous publics";"ETATS-UNIS";"05/11/1947"
"UNE NUIT A TABARIN";"Charles carl LAMAC";"5972";"Tous publics";"FRANCE";"01/11/1947"
"CARGAISON CLANDESTINE";"Alfred RODE";"6494";"Tous publics";"FRANCE";"27/12/1947"
"DANGER DE MORT";"Gilles GRANGIER";"5873";"Tous publics";"FRANCE";"20/12/1947"
"DEUX SOEURS VIVAIENT EN PAIX";"Irving REIS";"6676";"Tous publics";"ETATS-UNIS";"31/12/1947"
"ET DIX DE DER";"Robert HENNION";"6426";"Tous publics";"FRANCE";"20/12/1947"
"GRANDES ESPERANCES";"David LEAN";"6148";"Tous publics";"GRANDE-BRETAGNE";"12/12/1947"
"L AVENTURE COMMENCE DEMAIN";"Richard POTTIER";"5889";"Tous publics";"FRANCE";"20/12/1947"
"LA DAME DE SHANGHAI";"Orson WELLES";"6818";"Tous publics";"ETATS-UNIS";"24/12/1947"
"LA GRANDE MAGUET";"Roger RICHEBE";"6437";"Tous publics";"FRANCE";"27/12/1947"
"LA REVANCHE DE BACCARAT 2EME EPOQUE";"Jacques DE BARONCELLI";"6138";"Tous publics";"FRANCE";"06/12/1947"
"LES JEUX SONT FAITS";"Jean DELANNOY";"5890";"Tous publics";"FRANCE";"13/12/1947"
"MON PERE AVAIT RAISON";"Sacha GUITRY";"2005";"Tous publics";"FRANCE";"03/12/1947"
"ROUTE SANS ISSUE";"Jean STELLI";"6136";"Tous publics";"FRANCE";"27/12/1947"
"SHANGHAI GESTURE";"Josef Von STERNBERG";"5155";"Tous publics";"ETATS-UNIS";"10/12/1947"
"TIERCE A COEUR";"Casembroot jacque DE";"6040";"Tous publics";"FRANCE";"13/12/1947"
"TRAFIQUANTS DE LA MER";"Willy ROZIER";"6722";"Tous publics";"FRANCE";"13/12/1947"
"ZIEGFELD FOLLIES";"Vincente MINNELLI";"5186";"Tous publics";"ETATS-UNIS";"17/12/1947"
"ANDRE HARDY S ENFLAMME";"W S VAN DYKE";"3640";"Tous publics";"ETATS-UNIS";"11/01/1946"
"BARAQUE NUMERO 1";"Demeyst LUSSAC";"1762";"Tous publics";"BELGIQUE";"23/01/1946"
"CEUX DE CHEZ NOUS";"Gilliat LAUNDER";"1495";"Tous publics";"GRANDE-BRETAGNE";"30/01/1946"
"L ESPRIT S AMUSE";"David LEAN";"2160";"Tous publics";"GRANDE-BRETAGNE";"25/01/1946"
"LA GRANDE EPREUVE CINQ ANS D HISTOIRE";"Pouteyes POUTEYES";"1996";"Tous publics";"FRANCE";"26/01/1946"
"LA VRAIE GLOIRE";"Reed KANIN";"1459";"Tous publics";"ETATS-UNIS";"16/01/1946"
"LAC AUX DAMES";"Marc ALLEGRET";"1992";"Tous publics";"FRANCE";"30/01/1946"
"LE FRUIT VERT";"Henry KOSTER";"4420";"Tous publics";"ETATS-UNIS";"18/01/1946"
"LES CONQUERANTS";"Michael CURTIZ";"2143";"Tous publics";"ETATS-UNIS";"23/01/1946"
"LES INVITES DE HUIT HEURES";"Gaston SCHOUKENS";"5778";"Tous publics";"BELGIQUE";"16/01/1946"
"MISSION SPECIALE";"Maurice DE CANONGE";"696";"Tous publics";"FRANCE";"04/01/1946"
"MISSIONS SECRETES";"Pat JACKSON";"1498";"Tous publics";"GRANDE-BRETAGNE";"16/01/1946"
"RABOLIOT";"Jacques DAROY";"763";"Tous publics";"FRANCE";"25/01/1946"
"SON DERNIER ROLE";"Jean GOURGUET";"921";"Tous publics";"FRANCE";"04/01/1946"
"TANT QUE JE VIVRAI";"Jacques DE BARONCELLI";"721";"Tous publics";"FRANCE";"23/01/1946"
"AU PAYS DES CIGALES";"Maurice CAMUGLI";"2183";"Tous publics";"FRANCE";"27/02/1946"
"BATAILLE DU RAIL";"Rene CLEMENT";"592";"Tous publics";"FRANCE";"27/02/1946"
"CYRANO DE BERGERAC";"Fernand RIVERS";"2167";"Tous publics";"FRANCE";"15/02/1946"
"DESIR";"Franck BORZAGE";"3377";"Tous publics";"ETATS-UNIS";"05/02/1946"
"IMPASSE";"Frederic DARD";"651";"Tous publics";"FRANCE";"15/02/1946"
"IRENE";"Herbert WILCOX";"3888";"Tous publics";"ETATS-UNIS";"20/02/1946"
"L ANGE QU ON M A DONNE";"Jean CHOUX";"725";"Tous publics";"FRANCE";"27/02/1946"
"LE DANGER D AIMER";"Thornton FREELAND";"3820";"Tous publics";"GRANDE-BRETAGNE";"13/02/1946"
"LE DERNIER SOU";"André CAYATTE";"1127";"Tous publics";"FRANCE";"01/02/1946"
"LE MEURTRE DE JOHN CARTER";"Ben HOLMES";"2852";"Tous publics";"ETATS-UNIS";"08/02/1946"
"LES GUEUX AU PARADIS";"Rene LE HENAFF";"762";"Tous publics";"FRANCE";"08/02/1946"
"RADIO DETECTIVE";"Leslie GOODWINS";"3811";"Tous publics";"ETATS-UNIS";"20/02/1946"
"SYLVIE ET LE FANTOME";"Claude AUTANT-LARA";"359";"Tous publics";"FRANCE";"06/02/1946"
"UN HOMME A LA PAGE";"Leslie FENTON";"3694";"Tous publics";"ETATS-UNIS";"13/02/1946"
"VIVE LA LIBERTE";"Jeff MUSSO";"536";"Tous publics";"FRANCE";"07/02/1946"
"ASSURANCE SUR LA MORT";"Billy WILDER";"4286";"Tous publics";"ETATS-UNIS";"07/03/1946"
"FILS DE FRANCE";"Pierre BLONDY";"757";"Tous publics";"FRANCE";"22/03/1946"
"GUADALCANAL";"Lewis SEILER";"2768";"Tous publics";"ETATS-UNIS";"13/03/1946"
"IVAN LE TERRIBLE";"Serguei EISENSTEIN";"1726";"Tous publics";"RUSSIE";"06/03/1946"
"JERICHO";"Henri CALEF";"679";"Tous publics";"FRANCE";"22/03/1946"
"L AFFAIRE DU GRAND HOTEL";"Andre HUGON";"946";"Tous publics";"FRANCE";"29/03/1946"
"LA DANGEREUSE AVENTURE";"Mitchell LEISEN";"4300";"Tous publics";"ETATS-UNIS";"04/03/1946"
"LA FALAISE MYSTERIEUSE";"Lewis ALLEN";"4305";"Tous publics";"ETATS-UNIS";"11/03/1946"
"LA TENTATION DE BARBIZON";"Jean STELLI";"869";"Tous publics";"FRANCE";"13/03/1946"
"LE BONHEUR EST POUR DEMAIN";"Irving PICHEL";"4282";"Tous publics";"ETATS-UNIS";"14/03/1946"
"LES CLANDESTINS";"Andre CHOTIN";"878";"Tous publics";"FRANCE";"15/03/1946"
"MONSIEUR BIBI";"Rene PUJOL";"1575";"Tous publics";"FRANCE";"15/03/1946"
"MONSIEUR GREGOIRE S EVADE";"Jean daniel NORMAN";"681";"Tous publics";"FRANCE";"22/03/1946"
"NUITS BIRMANES";"Louis KING";"4299";"Tous publics";"ETATS-UNIS";"05/03/1946"
"ROGER LA HONTE";"André CAYATTE";"958";"Tous publics";"FRANCE";"13/03/1946"
"SERENADE AUX NUAGES";"André CAYATTE";"732";"Tous publics";"FRANCE";"06/03/1946"
"UNIFORMES ET JUPON COURT";"Billy WILDER";"4298";"Tous publics";"ETATS-UNIS";"12/03/1946"
"ADIEU CHERIE";"Raymond BERNARD";"4688";"Tous publics";"FRANCE";"26/04/1946"
"ANDRE HARDY MILLIONNAIRE";"George b SEITZ";"3643";"Tous publics";"ETATS-UNIS";"12/04/1946"
"EN BORDEE";"";"1893";"Tous publics";"FRANCE";"10/04/1946"
"ETOILE SANS LUMIERE";"Marcel BLISTENE";"794";"Tous publics";"FRANCE";"12/04/1946"
"ETRANGE DESTIN";"Louis CUNY";"690";"Tous publics";"FRANCE";"19/04/1946"
"FEMME FATALE";"Jean BOYER";"747";"Tous publics";"FRANCE";"19/04/1946"
"L HEROIQUE PARADE";"Carol REED";"1497";"Tous publics";"GRANDE-BRETAGNE";"03/04/1946"
"LE PAYS SANS ETOILES";"Georges LACOMBE";"745";"Tous publics";"FRANCE";"12/04/1946"
"LE TRAIN DE 8H47";"";"2159";"Tous publics";"FRANCE";"17/04/1946"
"LE VOLEUR DE BAGDAD";"Ludwig BERGER, Michael POWELL, Tim WHELAN";"1002";"Tous publics";"GRANDE-BRETAGNE";"11/04/1946"
"LECON DE CONDUITE";"Gilles GRANGIER";"594";"Tous publics";"FRANCE";"05/04/1946"
"LES DEMONS DE L AUBE";"Yves ALLEGRET";"1777";"Tous publics";"FRANCE";"19/04/1946"
"LES JOYEUX COMPERES";"Charley ROGERS";"4036";"Tous publics";"ETATS-UNIS";"04/04/1946"
"LES PETITES PESTES";"Richard WALLACE";"3083";"Tous publics";"ETATS-UNIS";"10/04/1946"
"MASTER LOVE OU LES GANGSTERS DU TURF";"Robert PEGUY";"838";"Tous publics";"FRANCE";"26/04/1946"
"NOUS NE SOMMES PAS SEULES";"Edmund GOULDING";"2509";"Tous publics";"ETATS-UNIS";"17/04/1946"
"NUITS D ALERTE";"Leon MATHOT";"734";"Tous publics";"FRANCE";"05/04/1946"
"SOLITA DE CORDOUE";"Willy ROZIER";"1559";"Tous publics";"FRANCE";"24/04/1946"
"UN AMI VIENDRA CE SOIR";"Raymond BERNARD";"684";"Tous publics";"FRANCE";"10/04/1946"
"APPEL DE LA NUIT";"";"3877";"Tous publics";"FRANCE";"08/05/1946"
"AU COEUR DE LA NUIT";"Cavalcanti DEARDEN";"3179";"Tous publics";"GRANDE-BRETAGNE";"08/05/1946"
"AU PETIT BONHEUR";"Marcel L'HERBIER";"758";"Tous publics";"FRANCE";"15/05/1946"
"L HOMME FATAL";"Anthony ASQUITH";"1493";"Tous publics";"GRANDE-BRETAGNE";"15/05/1946"
"L INSAISISSABLE FREDERIC";"Richard POTTIER";"2468";"Tous publics";"FRANCE";"17/05/1946"
"LA MERVEILLEUSE AVENTURE DE PINOCCHIO";"Norman FERGUSON, Ben SHARPSTEEN";"3895";"Tous publics";"ETATS-UNIS";"22/05/1946"
"LE CHEMIN DES ETOILES";"Anthony ASQUITH";"3799";"Tous publics";"ETATS-UNIS";"15/05/1946"
"LE COUPLE IDEAL";"Bernard ROLAND";"611";"Tous publics";"FRANCE";"31/05/1946"
"LE GARDIAN";"Jean DE MARGUENAT";"1473";"Tous publics";"FRANCE";"17/05/1946"
"LE ROMAN DE MILDRED PIERCE";"Michael CURTIZ";"4574";"Tous publics";"ETATS-UNIS";"09/05/1946"
"MAM ZELLE NITOUCHE";"";"4069";"Tous publics";"FRANCE";"08/05/1946"
"MESSIEURS LUDOVIC";"Jean Paul LE CHANOIS";"2960";"Tous publics";"FRANCE";"10/05/1946"
"ON DEMANDE UN MENAGE";"Maurice CAMUGLI";"1652";"Tous publics";"FRANCE";"24/05/1946"
"QUATRE DU MUSIC HALL";"Edwin l MARIN";"4476";"Tous publics";"ETATS-UNIS";"27/05/1946"
"SOUPCONS";"Alfred HITCHCOCK";"4468";"Tous publics";"ETATS-UNIS";"28/05/1946"
"VIVRE LIBRE";"Jean RENOIR";"4478";"Tous publics";"ETATS-UNIS";"31/05/1946"
"JEUX DE FEMMES";"Maurice CLOCHE";"1341";"Tous publics";"FRANCE";"28/06/1946"
"JOHNNY FRENCHMAN";"Charles FREND";"2161";"Tous publics";"GRANDE-BRETAGNE";"19/06/1946"
"L HOMME AU CHAPEAU ROND";"Pierre BILLON";"3116";"Tous publics";"FRANCE";"26/06/1946"
"L IDIOT";"Georges LAMPIN";"1937";"Tous publics";"FRANCE";"14/06/1946"
"L IMPOSTEUR";"Julien DUVIVIER";"4067";"Tous publics";"ETATS-UNIS";"05/06/1946"
"LA FEMME COUPEE EN MORCEAUX";"Yvan NOE";"761";"Tous publics";"FRANCE";"14/06/1946"
"LA MADONE AUX DEUX VISAGES";"Arthur CRABTREE";"4743";"Tous publics";"GRANDE-BRETAGNE";"11/06/1946"
"LA PRINCESSE ET LE PIRATE";"Yvan BUTLER";"4473";"Tous publics";"ETATS-UNIS";"07/06/1946"
"LA VIPERE";"William WYLER";"4477";"Tous publics";"ETATS-UNIS";"04/06/1946"
"LE RETOUR DE L HOMME INVISIBLE";"Joe MAY";"4432";"Tous publics";"ETATS-UNIS";"22/06/1946"
"UN SOIR DE RIXE";"Sidney GILLIAT";"4789";"Tous publics";"GRANDE-BRETAGNE";"13/06/1946"
"ADIEU MA JOLIE";"Edward DMYTRYK";"4528";"Tous publics";"ETATS-UNIS";"31/07/1946"
"CITIZEN KANE";"Orson WELLES";"4521";"Tous publics";"ETATS-UNIS";"06/07/1946"
"FRONTIERE DE LIBERTE";"Guillaume RADOT";"4169";"Tous publics";"FRANCE";"07/07/1946"
"L ASSASSIN N EST PAS COUPABLE";"Rene DELACROIX";"1651";"Tous publics";"FRANCE";"19/07/1946"
"L AVENTURE DE CABASSOU";"Gilles GRANGIER";"1675";"Tous publics";"FRANCE";"12/07/1946"
"LAURA";"Otto PREMINGER";"4405";"Tous publics";"ETATS-UNIS";"13/07/1946"
"LE COTTAGE ENCHANTE";"John CROMWELL";"4469";"Tous publics";"ETATS-UNIS";"12/07/1946"
"LE MAGICIEN D OZ";"Victor FLEMING";"1985";"Tous publics";"ETATS-UNIS";"20/07/1946"
"LES MILLE ET UNE NUITS";"John RAWLINS";"4418";"Tous publics";"ETATS-UNIS";"24/07/1946"
"MENSONGES";"Jean STELLI";"4134";"Tous publics";"FRANCE";"26/07/1946"
"ON NE MEURT PAS COMME CA";"Jean BOYER";"3926";"Tous publics";"FRANCE";"12/07/1946"
"SYMPHONIE MAGIQUE";"Andrew STONE";"4613";"Tous publics";"ETATS-UNIS";"18/07/1946"
"TOMBE DU CIEL";"Emile e REINERT";"3860";"Tous publics";"FRANCE";"31/07/1946"
"FANTOME DE L OPERA";"Arthur LUBIN";"4428";"Tous publics";"ETATS-UNIS";"22/08/1946"
"LA DAME DE HAUT LE BOIS";"Jacques DAROY";"4105";"Tous publics";"FRANCE";"23/08/1946"
"LA FEMME AUX DEUX VISAGES";"George CUKOR";"4647";"Tous publics";"ETATS-UNIS";"15/08/1946"
"LA ROSE DE LA MER";"Jacques DE BARONCELLI";"3836";"Tous publics";"FRANCE";"16/08/1946"
"LE CIEL PEUT ATTENDRE";"Ernst LUBITSCH";"4396";"Tous publics";"ETATS-UNIS";"28/08/1946"
"PATRIE";"Louis DAQUIN";"1544";"Tous publics";"FRANCE";"23/08/1946"
"QU ELLE ETAIT VERTE MA VALLEE";"John FORD";"4397";"Tous publics";"ETATS-UNIS";"01/08/1946"
"RYTHMES D AMOUR";"";"4066";"Tous publics";"ETATS-UNIS";"01/08/1946"
"UNE FEMME DISPARAIT";"Jacques FEYDER";"3788";"Tous publics";"FRANCE, SUISSE";"25/08/1946"
"DESTINS";"Richard POTTIER";"3886";"Tous publics";"FRANCE";"13/09/1946"
"DR JEKYLL ET MR HYDE";"Victor FLEMING";"4559";"Tous publics";"ETATS-UNIS";"25/09/1946"
"GRINGALET";"Andre BERTHOMIEU";"3833";"Tous publics";"FRANCE";"06/09/1946"
"JACK L EVENTREUR";"John BRAHM";"4403";"Tous publics";"ETATS-UNIS";"26/09/1946"
"JANE EYRE";"Robert STEVENSON";"4402";"Tous publics";"ETATS-UNIS";"11/09/1946"
"L AFFAIRE DU COLLIER DE LA REINE";"Marcel L'HERBIER";"1673";"Tous publics";"FRANCE";"20/09/1946"
"LA BELLE ENSORCELEUSE";"Rene CLAIR";"4422";"Tous publics";"ETATS-UNIS";"18/09/1946"
"LA NUIT DE SYBILLE";"Jean paul PAULIN";"4170";"Tous publics";"FRANCE";"13/09/1946"
"LA ROUTE SEMEE D ETOILES";"Leo MCCAREY";"4290";"Tous publics";"ETATS-UNIS";"04/09/1946"
"LE CABARET DU GRAND LARGE";"Rene JAYET";"3939";"Tous publics";"FRANCE";"27/09/1946"
"LE TRESOR DE TARZAN";"Richard THORPE";"4563";"Tous publics";"ETATS-UNIS";"14/09/1946"
"LES CLES DU ROYAUME";"John m STAHL";"4404";"Tous publics";"ETATS-UNIS";"04/09/1946"
"L ENFANCE DE GORKI";"Mark DONSKOY";"5042";"Tous publics";"RUSSIE";"30/10/1946"
"L ENNEMI SANS VISAGE";"Maurice CAMMAGE";"3898";"Tous publics";"FRANCE";"18/10/1946"
"LA FOIRE AUX CHIMERES";"Pierre CHENAL";"1957";"Tous publics";"FRANCE";"11/10/1946"
"LA REVANCHE DE ROGER LA HONTE";"Par 00290 REMPLACE";"4109";"Tous publics";"FRANCE";"04/10/1946"
"LA SYMPHONIE PASTORALE";"Jean DELANNOY";"2171";"Tous publics";"FRANCE";"04/10/1946"
"LE FUGITIF";"Robert BIBAL";"3837";"Tous publics";"FRANCE";"04/10/1946"
"LE PERE TRANQUILLE";"Rene CLEMENT";"2477";"Tous publics";"FRANCE";"18/10/1946"
"LE TROUBADOUR DE BROADWAY";"Joseph w LEWIS";"1920";"Tous publics";"ETATS-UNIS";"19/10/1946"
"LES MAINS QUI TUENT";"Robert SIODMAK";"4429";"Tous publics";"ETATS-UNIS";"03/10/1946"
"PETRUS";"Marc ALLEGRET";"461";"Tous publics";"FRANCE";"11/10/1946"
"QUARTIER SANS SOLEIL";"Dimitri KIRSANOFF";"658";"Tous publics";"FRANCE";"31/10/1946"
"UN COEUR SOLITAIRE";"Clifford ODETS";"4524";"Tous publics";"ETATS-UNIS";"30/10/1946"
"UN REVENANT";"null CHRISTIAN JAQUE";"3443";"Tous publics";"FRANCE";"25/10/1946"
"VENDETTA";"Gregory RATOFF";"4407";"Tous publics";"ETATS-UNIS";"09/10/1946"
"BREVE RENCONTRE";"David LEAN";"4790";"Tous publics";"GRANDE-BRETAGNE";"28/11/1946"
"FANTASIA";"Beebe ALGAR";"4467";"Tous publics";"ETATS-UNIS";"01/11/1946"
"IL SUFFIT D UNE FOIS";"Andree FEIX";"4076";"Tous publics";"FRANCE";"01/11/1946"
"L HOMME DE LA NUIT";"Rene JAYET";"3938";"Tous publics";"FRANCE";"29/11/1946"
"LA BELLE ET LA BETE";"Jean COCTEAU";"782";"Tous publics";"FRANCE";"08/11/1946"
"LA COLERE DES DIEUX";"Charles carl LAMAC";"3925";"Tous publics";"FRANCE";"08/11/1946"
"LA MORT N ETAIT PAS AU RENDEZ VOUS";"Curtis BERNHARDT";"4570";"Tous publics";"ETATS-UNIS";"13/11/1946"
"LA SPLENDEUR DES AMBERSONS";"Orson WELLES";"4526";"Tous publics";"ETATS-UNIS";"15/11/1946"
"LE CHANT DU MISSOURI";"Vincente MINNELLI";"4877";"Tous publics";"ETATS-UNIS";"09/11/1946"
"LE MYSTERIEUX MR SYLVAIN";"Jean STELLI";"4123";"Tous publics";"FRANCE";"15/11/1946"
"LES CHOUANS";"Henri CALEF";"4259";"Tous publics";"FRANCE";"15/11/1946"
"MA FEMME ET SES FLIRTS";"Preston STURGES";"4945";"Tous publics";"ETATS-UNIS";"20/11/1946"
"MONSIEUR CHASSE";"Willy ROZIER";"4663";"Tous publics";"FRANCE";"01/11/1946"
"MONSIEUR DE FALINDOR";"Rene LE HENAFF";"4684";"Tous publics";"FRANCE";"29/11/1946"
"NOUS NE SOMMES PAS MARIES";"Bernard ROLAND";"4972";"Tous publics";"FRANCE";"15/11/1946"
"PAS UN MOT A LA REINE MERE";"Maurice CLOCHE";"4087";"Tous publics";"FRANCE";"01/11/1946"
"ROME VILLE OUVERTE";"Roberto ROSSELLINI";"4605";"Tous publics";"ITALIE";"13/11/1946"
"SIGNE DE ZORRO";"Rouben MAMOULIAN";"4399";"Tous publics";"ETATS-UNIS";"27/11/1946"
"ARSENIC ET VIEILLES DENTELLES";"Franck CAPRA";"4575";"Tous publics";"ETATS-UNIS";"20/12/1946"
"COEUR DE COQ";"Pierre COLOMBIER";"4674";"Tous publics";"FRANCE";"27/12/1946"
"HISTOIRE DE CHANTER";"Gilles GRANGIER";"4256";"Tous publics";"FRANCE";"20/12/1946"
"L AIGLE DES MERS";"Michael CURTIZ";"4577";"Tous publics";"ETATS-UNIS";"26/12/1946"
"LA DERNIERE ENQUETE DE MR TOPPER";"";"4725";"Tous publics";"ETATS-UNIS";"18/12/1946"
"LA NUIT SANS FIN";"Jacques SEVERAC";"4939";"Tous publics";"FRANCE";"27/12/1946"
"LE BAL DES SIRENES";"George SIDNEY";"4649";"Tous publics";"ETATS-UNIS";"27/12/1946"
"LE BATEAU A SOUPE";"Maurice GLEIZE";"4245";"Tous publics";"FRANCE";"20/12/1946"
"LE DESTIN S AMUSE";"Emile e REINERT";"4660";"Tous publics";"FRANCE";"13/12/1946"
"LE VISITEUR";"Jean DREVILLE";"4104";"Tous publics";"FRANCE";"13/12/1946"
"LE VOLEUR SE PORTE BIEN";"Jean LOUBIGNAC";"3965";"Tous publics";"FRANCE";"06/12/1946"
"LES PORTES DE LA NUIT";"Marcel CARNE";"3834";"Tous publics";"FRANCE";"13/12/1946"
"MACADAM";"Marcel BLISTENE";"4542";"Tous publics";"FRANCE";"06/12/1946"
"MARTIN ROUMAGNAC";"Georges LACOMBE";"4121";"Tous publics";"FRANCE";"06/12/1946"
"PAS SI BETE";"Andre BERTHOMIEU";"4659";"Tous publics";"FRANCE";"25/12/1946"
"UN COEUR PRIS AU PIEGE";"John STURGES";"4307";"Tous publics";"ETATS-UNIS";"10/12/1946"
"CRIME PASSIONNEL";"Otto PREMINGER";"4389";"Tous publics";"ETATS-UNIS";"01/01/1945"
"L OR DU CIEL";"George MARSHALL";"2567";"Tous publics";"ETATS-UNIS";"24/01/1945"
